24/05/2026 07:03:36 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388783.00
24/05/2026 07:04:06 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388783.00
24/05/2026 07:04:37 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388783.00
24/05/2026 07:05:07 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388783.00
24/05/2026 07:05:37 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388783.00
24/05/2026 07:06:08 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388783.00
24/05/2026 07:06:38 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388783.00
24/05/2026 07:07:08 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388783.00
24/05/2026 07:07:39 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388783.00
24/05/2026 07:08:09 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388534.00
24/05/2026 07:08:39 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388534.00
24/05/2026 07:09:10 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388534.00
24/05/2026 07:09:40 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388534.00
24/05/2026 07:10:10 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388534.00
24/05/2026 07:10:41 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388534.00
24/05/2026 07:11:11 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388534.00
24/05/2026 07:11:41 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388534.00
24/05/2026 07:12:12 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388534.00
24/05/2026 07:12:42 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388534.00
24/05/2026 07:13:12 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388401.00
24/05/2026 07:13:43 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388401.00
24/05/2026 07:14:13 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388401.00
24/05/2026 07:14:43 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388401.00
24/05/2026 07:15:14 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388401.00
24/05/2026 07:15:44 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388401.00
24/05/2026 07:16:14 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388401.00
24/05/2026 07:16:45 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388401.00
24/05/2026 07:17:15 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388401.00
24/05/2026 07:17:45 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388401.00
24/05/2026 07:18:16 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388380.00
24/05/2026 07:18:46 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388380.00
24/05/2026 07:19:16 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388380.00
24/05/2026 07:19:47 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388380.00
24/05/2026 07:20:17 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388380.00
24/05/2026 07:20:47 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388380.00
24/05/2026 07:21:18 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388380.00
24/05/2026 07:21:48 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388380.00
24/05/2026 07:22:18 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388380.00
24/05/2026 07:22:49 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388380.00
24/05/2026 07:23:19 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388635.00
24/05/2026 07:23:49 | Dolar: R$5.03 | Euro: R$5.85 | Bitcoin: R$388635.00
